               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037386,            0.012432,           0.0080418,           0.0021902,              0.7375,           0.0053423,           0.0014969,            0.031741,           0.0071829,           0.0071855,             0.13301,          0.00097631,          0.00097631
                   1,            0.024979,            0.013034,           0.0068854,           0.0019811,             0.65417,            0.019278,           0.0079902,            0.028392,           0.0063164,           0.0061762,            0.078882,           0.0019581,           0.0019581
                   2,             0.01909,            0.012903,           0.0061566,           0.0027882,               0.925,             0.26012,             0.10036,            0.022756,            0.006012,           0.0057813,             0.02475,           0.0029352,           0.0029352
                   3,            0.017725,            0.011764,           0.0062398,             0.41747,             0.34167,             0.33908,             0.16188,            0.021049,           0.0057348,           0.0056398,           0.0033157,           0.0033157,           0.0033157
                   4,            0.016436,            0.010774,           0.0060458,             0.80981,             0.12219,             0.26988,             0.11332,            0.024348,           0.0048703,           0.0056126,           0.0033157,           0.0033157,           0.0033157
                   5,            0.015585,           0.0099523,           0.0059477,             0.80674,             0.35417,             0.46317,              0.2714,            0.016999,           0.0047442,           0.0055574,           0.0033076,           0.0033076,           0.0033076
                   6,            0.015262,            0.009544,           0.0059687,             0.84442,             0.37083,             0.45742,             0.27964,            0.016087,           0.0045531,           0.0055469,           0.0032995,           0.0032995,           0.0032995
                   7,            0.014472,            0.008832,           0.0059983,             0.79732,             0.32083,             0.41314,             0.21405,            0.019694,           0.0043618,           0.0056205,           0.0032914,           0.0032914,           0.0032914
                   8,            0.013877,           0.0085827,           0.0060271,             0.72844,             0.33042,             0.37646,             0.20428,            0.022173,           0.0043057,           0.0056426,           0.0032833,           0.0032833,           0.0032833
                   9,             0.01355,           0.0082576,           0.0059626,             0.35029,             0.29583,             0.29579,             0.15391,            0.026669,           0.0041683,           0.0056887,           0.0032752,           0.0032752,           0.0032752
                  10,            0.013118,           0.0078894,           0.0059269,             0.43832,             0.46667,             0.45937,             0.25723,            0.016035,           0.0041557,           0.0055503,           0.0032671,           0.0032671,           0.0032671
                  11,            0.012713,           0.0078189,           0.0059619,             0.40795,             0.47827,             0.41873,             0.24788,            0.018287,           0.0040255,            0.005618,            0.003259,            0.003259,            0.003259
                  12,             0.01251,           0.0076615,           0.0059153,             0.39045,             0.58157,             0.48981,             0.29132,            0.014267,            0.003698,           0.0054539,           0.0032509,           0.0032509,           0.0032509
                  13,            0.012138,           0.0074674,           0.0061663,             0.40449,             0.71667,             0.52036,             0.29583,            0.014086,           0.0037216,           0.0054792,           0.0032428,           0.0032428,           0.0032428
                  14,            0.011875,           0.0075458,           0.0059138,             0.42603,             0.72917,             0.48274,             0.28213,            0.014343,           0.0036861,           0.0054947,           0.0032347,           0.0032347,           0.0032347
                  15,            0.011699,           0.0071922,           0.0060188,             0.40724,              0.7191,             0.46095,             0.28034,            0.016922,           0.0037894,           0.0055488,           0.0032266,           0.0032266,           0.0032266
                  16,            0.011379,           0.0074472,           0.0058543,             0.37035,             0.54583,             0.42173,             0.22623,             0.01996,           0.0037513,           0.0056609,           0.0032185,           0.0032185,           0.0032185
                  17,            0.011343,           0.0073967,           0.0058552,             0.40361,             0.62083,             0.43196,             0.26777,            0.017853,           0.0037758,           0.0055502,           0.0032104,           0.0032104,           0.0032104
                  18,            0.010975,             0.00715,            0.005895,             0.40798,             0.74194,             0.48833,             0.29221,            0.014273,           0.0034985,           0.0054316,           0.0032023,           0.0032023,           0.0032023
                  19,            0.011085,           0.0069977,           0.0058823,             0.37006,             0.65272,             0.43344,             0.24453,            0.018292,           0.0037118,           0.0055944,           0.0031942,           0.0031942,           0.0031942
                  20,            0.010802,           0.0070018,           0.0059201,              0.4442,             0.73644,              0.4778,             0.28449,              0.0157,            0.003771,           0.0055462,           0.0031861,           0.0031861,           0.0031861
                  21,            0.010568,           0.0069589,           0.0058384,             0.43677,               0.825,              0.5266,             0.34189,            0.012417,           0.0036052,           0.0054232,            0.003178,            0.003178,            0.003178
                  22,            0.010429,           0.0069085,           0.0059464,             0.39098,             0.73464,             0.50192,             0.30446,            0.013836,           0.0035539,           0.0053654,           0.0031699,           0.0031699,           0.0031699
                  23,            0.010385,           0.0068982,           0.0057768,             0.32359,             0.59167,             0.43077,             0.26717,            0.020641,            0.003731,           0.0054732,           0.0031618,           0.0031618,           0.0031618
                  24,            0.010137,           0.0069868,           0.0057662,             0.41089,             0.82083,             0.52303,             0.33059,             0.01266,           0.0036015,           0.0053104,           0.0031537,           0.0031537,           0.0031537
                  25,            0.010145,           0.0067741,            0.005914,             0.39942,             0.80875,             0.50764,             0.31123,            0.014386,           0.0035635,           0.0053976,           0.0031456,           0.0031456,           0.0031456
                  26,             0.01001,           0.0068145,           0.0057503,             0.42043,               0.875,             0.54166,             0.34884,            0.012142,           0.0034987,           0.0053136,           0.0031375,           0.0031375,           0.0031375
                  27,           0.0095864,           0.0066513,           0.0059258,             0.37226,             0.74167,             0.48702,             0.30033,            0.015416,           0.0036815,           0.0053993,           0.0031294,           0.0031294,           0.0031294
                  28,           0.0097023,           0.0066496,             0.00584,             0.37719,             0.59755,             0.43187,             0.24305,            0.020797,           0.0041085,           0.0055678,           0.0031213,           0.0031213,           0.0031213
                  29,           0.0095382,           0.0066216,           0.0058505,             0.38705,              0.8037,               0.509,               0.316,            0.014194,            0.003535,           0.0053032,           0.0031132,           0.0031132,           0.0031132
                  30,           0.0093313,           0.0065788,           0.0057593,             0.40863,             0.80833,             0.53025,             0.31871,             0.01236,           0.0035161,           0.0053157,           0.0031051,           0.0031051,           0.0031051
                  31,           0.0094665,            0.006473,           0.0058427,             0.42546,             0.69167,             0.47334,             0.29633,            0.016032,           0.0037384,           0.0053986,            0.003097,            0.003097,            0.003097
                  32,           0.0093642,           0.0065235,           0.0058855,             0.39828,             0.72155,             0.53032,             0.33729,            0.012436,           0.0035164,           0.0052771,           0.0030889,           0.0030889,           0.0030889
                  33,           0.0090616,           0.0064558,           0.0058498,             0.39822,               0.825,             0.54708,             0.33879,            0.012799,           0.0035024,           0.0052783,           0.0030808,           0.0030808,           0.0030808
                  34,           0.0091251,           0.0065208,            0.005791,             0.43178,                0.65,             0.52019,             0.30529,            0.016198,           0.0037926,           0.0052634,           0.0030727,           0.0030727,           0.0030727
                  35,           0.0090639,           0.0064358,           0.0056245,             0.42821,             0.77996,               0.523,             0.32208,            0.013527,           0.0036669,            0.005258,           0.0030646,           0.0030646,           0.0030646
                  36,           0.0088811,             0.00643,           0.0056361,             0.44705,             0.85833,             0.54637,             0.34611,            0.013065,           0.0034546,           0.0052418,           0.0030566,           0.0030566,           0.0030566
                  37,           0.0088103,           0.0062157,           0.0056773,             0.38809,             0.56667,             0.45129,             0.26285,            0.021373,           0.0039379,           0.0054277,           0.0030485,           0.0030485,           0.0030485
                  38,           0.0086419,           0.0064182,           0.0056317,             0.24097,             0.41667,             0.32172,              0.1702,            0.025902,           0.0037254,           0.0055744,           0.0030404,           0.0030404,           0.0030404
                  39,            0.008795,           0.0061063,           0.0056028,             0.44378,             0.87083,             0.60116,              0.3964,            0.011831,           0.0034721,           0.0050851,           0.0030323,           0.0030323,           0.0030323
                  40,           0.0085544,           0.0062472,           0.0057597,             0.42867,             0.78196,             0.54251,             0.33985,            0.015209,           0.0035085,           0.0052655,           0.0030242,           0.0030242,           0.0030242
                  41,           0.0086513,           0.0063883,           0.0055644,             0.44863,             0.79167,             0.61234,             0.41804,            0.011621,           0.0033951,           0.0050194,           0.0030161,           0.0030161,           0.0030161
                  42,           0.0085971,           0.0062996,           0.0056206,             0.47052,             0.70833,             0.52424,              0.3323,            0.016088,           0.0036668,           0.0054095,            0.003008,            0.003008,            0.003008
                  43,            0.008439,           0.0062946,             0.00562,             0.50427,             0.73333,             0.61798,             0.41505,            0.011866,            0.003399,           0.0050047,           0.0029999,           0.0029999,           0.0029999
                  44,           0.0086473,             0.00618,           0.0056359,             0.49582,             0.72917,             0.62093,             0.42764,            0.012304,           0.0034445,           0.0051432,           0.0029918,           0.0029918,           0.0029918
                  45,           0.0085092,           0.0062531,           0.0056316,             0.49349,             0.67871,             0.55866,             0.37046,            0.014757,           0.0034458,            0.005214,           0.0029837,           0.0029837,           0.0029837
                  46,            0.008431,           0.0062898,           0.0052938,             0.53849,             0.71084,             0.65818,              0.4438,             0.01171,            0.003434,           0.0048297,           0.0029756,           0.0029756,           0.0029756
                  47,           0.0083827,           0.0060106,           0.0052359,             0.60697,             0.72917,             0.70133,             0.47173,            0.011875,           0.0033439,           0.0048566,           0.0029675,           0.0029675,           0.0029675
                  48,            0.008196,           0.0061212,            0.005341,             0.64103,                 0.7,             0.69254,             0.47106,            0.011388,           0.0033446,           0.0048855,           0.0029594,           0.0029594,           0.0029594
                  49,           0.0082994,           0.0060061,           0.0053545,             0.60572,             0.66667,             0.69073,             0.47028,            0.011321,           0.0032961,           0.0047975,           0.0029513,           0.0029513,           0.0029513
                  50,           0.0081157,           0.0061921,           0.0054059,             0.60282,              0.6875,             0.64186,             0.42982,            0.012013,           0.0033251,           0.0048665,           0.0029432,           0.0029432,           0.0029432
                  51,           0.0080758,           0.0062051,           0.0052477,              0.5895,             0.65833,             0.64685,             0.42007,            0.012228,           0.0035273,           0.0048578,           0.0029351,           0.0029351,           0.0029351
                  52,            0.008431,           0.0061635,           0.0050377,             0.62239,             0.70659,             0.72259,             0.49908,            0.010966,           0.0032406,           0.0046052,            0.002927,            0.002927,            0.002927
                  53,           0.0083148,           0.0060717,           0.0050969,             0.60187,             0.77533,             0.67472,             0.44192,            0.011709,           0.0034722,           0.0047487,           0.0029189,           0.0029189,           0.0029189
                  54,           0.0081743,           0.0060278,           0.0049924,             0.54558,             0.57917,             0.62464,             0.39235,             0.01427,           0.0033957,           0.0047932,           0.0029108,           0.0029108,           0.0029108
                  55,           0.0082693,           0.0060703,            0.005003,              0.6334,              0.6875,             0.64042,             0.42409,            0.012762,           0.0035822,           0.0044496,           0.0029027,           0.0029027,           0.0029027
                  56,           0.0080155,           0.0061195,           0.0047056,             0.58123,             0.61822,             0.64017,             0.42535,            0.011771,            0.003292,           0.0048896,           0.0028946,           0.0028946,           0.0028946
                  57,           0.0079524,           0.0060014,           0.0048074,             0.60659,             0.57517,             0.60501,             0.37034,            0.013631,           0.0036298,            0.004889,           0.0028865,           0.0028865,           0.0028865
                  58,           0.0079897,           0.0060038,            0.004717,             0.57341,             0.70417,             0.62584,             0.41841,            0.011772,           0.0033763,           0.0048672,           0.0028784,           0.0028784,           0.0028784
                  59,           0.0080857,           0.0061001,           0.0046722,             0.67137,             0.70383,             0.70754,             0.47316,            0.011091,              0.0033,           0.0045384,           0.0028703,           0.0028703,           0.0028703
                  60,           0.0078436,           0.0059314,           0.0045914,             0.61457,             0.73333,             0.68555,              0.4617,            0.011441,           0.0033737,           0.0044692,           0.0028622,           0.0028622,           0.0028622
                  61,           0.0080026,           0.0060088,           0.0046115,             0.59827,             0.75833,             0.69949,             0.47796,            0.011239,           0.0033285,           0.0044601,           0.0028541,           0.0028541,           0.0028541
                  62,           0.0078936,           0.0060384,           0.0045904,             0.62852,             0.66618,             0.68319,             0.47413,             0.01167,           0.0033493,           0.0045129,            0.002846,            0.002846,            0.002846
                  63,           0.0077916,           0.0059273,           0.0046388,             0.66543,             0.78264,             0.71881,             0.47937,             0.01132,           0.0033109,           0.0042889,           0.0028379,           0.0028379,           0.0028379
                  64,           0.0077928,           0.0060188,           0.0045922,             0.63211,             0.70214,             0.73064,             0.50918,            0.011722,           0.0033691,           0.0045618,           0.0028298,           0.0028298,           0.0028298
                  65,           0.0079278,           0.0059872,           0.0044414,              0.5553,             0.58333,             0.62182,             0.42079,            0.011361,           0.0033664,           0.0051705,           0.0028217,           0.0028217,           0.0028217
                  66,            0.007846,           0.0059004,           0.0044769,             0.68792,             0.74583,             0.75901,             0.51736,            0.011666,           0.0033086,           0.0043008,           0.0028136,           0.0028136,           0.0028136
                  67,           0.0077271,           0.0058889,           0.0043972,              0.5441,             0.68333,             0.64987,             0.45101,            0.011064,           0.0033495,           0.0047043,           0.0028055,           0.0028055,           0.0028055
                  68,           0.0077241,           0.0059538,           0.0043335,             0.65389,             0.76034,             0.71111,             0.47408,            0.011791,           0.0033599,           0.0040489,           0.0027974,           0.0027974,           0.0027974
                  69,           0.0077692,           0.0060371,           0.0041485,             0.69167,             0.64139,             0.72408,             0.49782,            0.011087,           0.0033102,           0.0041496,           0.0027893,           0.0027893,           0.0027893
                  70,           0.0075993,            0.005841,           0.0042591,             0.67101,             0.73726,             0.73704,             0.48738,            0.011146,           0.0034123,           0.0042961,           0.0027812,           0.0027812,           0.0027812
                  71,           0.0076591,           0.0059769,           0.0041945,             0.68318,             0.66667,              0.6539,             0.41901,             0.01365,           0.0036258,           0.0044848,           0.0027731,           0.0027731,           0.0027731
                  72,           0.0076537,           0.0059344,           0.0041736,             0.58959,             0.75417,             0.70364,             0.48013,            0.011572,           0.0033966,           0.0041051,            0.002765,            0.002765,            0.002765
                  73,           0.0075415,           0.0057489,           0.0040154,             0.77324,             0.67532,              0.7467,             0.51709,            0.011368,           0.0032762,           0.0037002,           0.0027569,           0.0027569,           0.0027569
                  74,           0.0073983,           0.0057813,           0.0042179,              0.7269,             0.71667,             0.75388,             0.51427,            0.010845,           0.0032707,           0.0039903,           0.0027488,           0.0027488,           0.0027488
                  75,           0.0074345,            0.005936,           0.0038862,             0.71254,             0.70935,             0.73759,              0.4768,            0.012173,           0.0034663,           0.0044139,           0.0027407,           0.0027407,           0.0027407
                  76,           0.0077103,           0.0059758,           0.0038356,             0.74959,             0.74167,             0.78084,              0.5208,             0.01081,           0.0032997,           0.0039783,           0.0027326,           0.0027326,           0.0027326
                  77,           0.0075107,           0.0057675,           0.0037499,             0.65988,             0.70175,             0.70522,             0.46139,            0.012479,            0.003513,           0.0044204,           0.0027245,           0.0027245,           0.0027245
                  78,           0.0074905,           0.0060297,            0.003916,             0.53041,              0.5875,             0.62892,             0.42471,            0.012172,           0.0033976,           0.0050295,           0.0027164,           0.0027164,           0.0027164
                  79,           0.0077012,           0.0057506,           0.0035941,             0.70703,             0.72904,             0.71072,             0.47673,             0.01277,           0.0032406,           0.0042424,           0.0027083,           0.0027083,           0.0027083
                  80,           0.0073864,            0.005839,           0.0037989,             0.70896,             0.73365,             0.74806,             0.50057,            0.011326,           0.0032772,           0.0039695,           0.0027002,           0.0027002,           0.0027002
                  81,           0.0073514,           0.0057791,           0.0036707,             0.64621,             0.74567,             0.70762,             0.47359,            0.012152,           0.0034499,           0.0043423,           0.0026921,           0.0026921,           0.0026921
                  82,           0.0073958,           0.0057414,           0.0035268,             0.63579,             0.65124,             0.60966,             0.36876,            0.014476,           0.0037308,           0.0042349,            0.002684,            0.002684,            0.002684
                  83,            0.007304,           0.0058623,           0.0035643,             0.63786,             0.67713,             0.70411,             0.46577,            0.011714,           0.0032622,           0.0049279,           0.0026759,           0.0026759,           0.0026759
                  84,            0.007323,           0.0057492,           0.0033671,             0.53703,               0.625,             0.67217,             0.45092,            0.011361,           0.0033232,           0.0050786,           0.0026678,           0.0026678,           0.0026678
                  85,           0.0073918,           0.0057874,           0.0033282,             0.63909,             0.72948,             0.72752,             0.49554,            0.011509,           0.0032601,            0.004353,           0.0026597,           0.0026597,           0.0026597
                  86,           0.0072186,            0.005893,           0.0033795,             0.69161,             0.69167,             0.70617,             0.48188,            0.011631,           0.0033423,           0.0039217,           0.0026516,           0.0026516,           0.0026516
                  87,           0.0071902,           0.0056911,           0.0032074,             0.70128,             0.62096,             0.66251,             0.44839,             0.01262,           0.0033468,           0.0049039,           0.0026435,           0.0026435,           0.0026435
                  88,           0.0072773,           0.0059287,           0.0034521,             0.76573,             0.61571,             0.70557,             0.47288,            0.011477,           0.0033893,            0.004575,           0.0026354,           0.0026354,           0.0026354
                  89,           0.0074106,           0.0056794,           0.0033296,             0.60076,             0.69205,             0.70831,             0.47529,            0.011818,           0.0033756,           0.0044889,           0.0026273,           0.0026273,           0.0026273
                  90,            0.007308,           0.0057457,           0.0031943,             0.65535,             0.64259,             0.66378,             0.41406,            0.014673,           0.0033727,           0.0048605,           0.0026192,           0.0026192,           0.0026192
                  91,           0.0073867,           0.0059145,           0.0033388,             0.66799,                 0.7,              0.7224,             0.49143,            0.011231,           0.0032952,           0.0044523,           0.0026111,           0.0026111,           0.0026111
                  92,           0.0072327,           0.0057131,            0.003218,              0.6351,              0.6744,             0.69262,             0.46905,             0.01175,           0.0033433,           0.0047389,            0.002603,            0.002603,            0.002603
                  93,           0.0071938,           0.0056214,           0.0030557,             0.57719,             0.64167,             0.62791,             0.41104,            0.014947,           0.0033004,           0.0043862,           0.0025949,           0.0025949,           0.0025949
                  94,           0.0071847,           0.0054785,           0.0031846,             0.58192,             0.72354,             0.63103,             0.37471,            0.014265,           0.0035085,           0.0053306,           0.0025868,           0.0025868,           0.0025868
                  95,           0.0072327,           0.0057112,           0.0029908,             0.62599,             0.71667,             0.70656,             0.48365,            0.011645,           0.0033042,           0.0040668,           0.0025787,           0.0025787,           0.0025787
                  96,           0.0071998,           0.0058065,            0.003113,             0.62412,             0.70553,             0.69394,             0.46785,            0.011158,           0.0032836,           0.0044904,           0.0025706,           0.0025706,           0.0025706
                  97,           0.0073091,           0.0056988,           0.0031191,              0.6115,              0.7125,             0.68104,             0.45608,            0.011588,           0.0033247,           0.0048892,           0.0025625,           0.0025625,           0.0025625
                  98,           0.0071295,           0.0056253,           0.0030139,             0.58841,             0.73764,             0.70899,             0.48048,            0.011067,           0.0033554,           0.0045746,           0.0025544,           0.0025544,           0.0025544
                  99,             0.00715,           0.0055756,           0.0029256,             0.62803,             0.70417,             0.71411,             0.48616,            0.011271,           0.0033833,           0.0049026,           0.0025463,           0.0025463,           0.0025463
                 100,           0.0070051,           0.0056691,           0.0031043,             0.60428,             0.70417,             0.70073,              0.4571,            0.012176,           0.0033843,           0.0043057,           0.0025382,           0.0025382,           0.0025382
                 101,           0.0070283,           0.0055798,           0.0028856,             0.66561,             0.65833,             0.67717,             0.46796,            0.011364,            0.003422,           0.0043658,           0.0025301,           0.0025301,           0.0025301
                 102,           0.0072665,           0.0056664,           0.0027998,               0.646,             0.71667,             0.72467,             0.48932,            0.011349,           0.0034702,           0.0040014,            0.002522,            0.002522,            0.002522
                 103,           0.0070026,           0.0055893,           0.0027257,             0.66029,             0.74636,             0.74449,              0.5016,            0.011207,           0.0033242,           0.0039379,           0.0025139,           0.0025139,           0.0025139
