               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037687,            0.012382,           0.0080637,           0.0022026,             0.75417,            0.013031,           0.0029866,            0.032494,           0.0069449,           0.0073324,             0.13301,          0.00097631,          0.00097631
                   1,             0.02606,            0.013399,           0.0069678,           0.0026352,               0.875,            0.044656,            0.019631,            0.023922,           0.0068068,           0.0063115,            0.078883,           0.0019587,           0.0019587
                   2,            0.019759,            0.012924,           0.0062448,           0.0023617,                 0.8,             0.18339,            0.077301,            0.025684,           0.0059659,           0.0057161,            0.024751,            0.002937,            0.002937
                   3,            0.018318,            0.012028,           0.0062095,            0.003225,                 0.9,             0.27126,             0.11365,             0.02317,           0.0057654,           0.0056829,           0.0033187,           0.0033187,           0.0033187
                   4,            0.016722,            0.010969,           0.0062186,             0.85195,              0.2125,             0.35899,             0.18899,            0.020436,           0.0054992,           0.0055785,           0.0033187,           0.0033187,           0.0033187
                   5,            0.015726,            0.010421,           0.0060835,             0.86706,              0.2186,             0.38439,              0.2055,            0.021567,           0.0045607,           0.0056482,           0.0033117,           0.0033117,           0.0033117
                   6,            0.015208,           0.0096548,           0.0060602,             0.78321,               0.075,             0.15628,            0.068483,            0.031775,           0.0044949,           0.0057458,           0.0033046,           0.0033046,           0.0033046
                   7,            0.014683,           0.0092694,           0.0060669,             0.75743,             0.22917,             0.27288,             0.11231,            0.027825,           0.0041276,           0.0056537,           0.0032975,           0.0032975,           0.0032975
                   8,            0.013985,           0.0089963,           0.0061761,             0.23862,               0.275,             0.33746,             0.19013,            0.024391,           0.0040732,           0.0056969,           0.0032904,           0.0032904,           0.0032904
                   9,            0.013965,            0.008479,           0.0060569,             0.45187,             0.37083,             0.39963,             0.18766,            0.019664,           0.0040224,           0.0055848,           0.0032833,           0.0032833,           0.0032833
                  10,            0.013639,           0.0083632,           0.0060392,              0.3824,             0.37948,             0.37394,               0.169,            0.020291,           0.0039718,           0.0056012,           0.0032762,           0.0032762,           0.0032762
                  11,            0.012998,           0.0082733,           0.0060493,             0.50252,             0.44583,             0.45402,             0.26962,            0.017963,           0.0039907,           0.0055927,           0.0032691,           0.0032691,           0.0032691
                  12,            0.012737,           0.0081325,           0.0060615,             0.37063,               0.475,             0.40313,             0.21188,            0.018251,           0.0040531,           0.0055914,           0.0032621,           0.0032621,           0.0032621
                  13,             0.01248,           0.0080547,           0.0061355,             0.39079,              0.5375,             0.45684,             0.27144,            0.017838,            0.003754,            0.005571,            0.003255,            0.003255,            0.003255
                  14,            0.012206,            0.007792,           0.0060713,             0.41634,             0.55833,             0.46968,             0.29081,            0.015324,           0.0040536,           0.0055497,           0.0032479,           0.0032479,           0.0032479
                  15,            0.011932,           0.0078561,           0.0059801,             0.38913,                 0.6,             0.45399,             0.23687,            0.016695,           0.0036947,           0.0054939,           0.0032408,           0.0032408,           0.0032408
                  16,             0.01174,           0.0076176,           0.0061362,             0.39499,             0.64167,              0.4913,             0.31033,            0.014577,           0.0037831,           0.0055079,           0.0032337,           0.0032337,           0.0032337
                  17,              0.0115,            0.007516,           0.0059706,             0.26736,             0.40417,             0.27268,             0.14729,            0.027242,           0.0037839,           0.0056249,           0.0032266,           0.0032266,           0.0032266
                  18,            0.011295,           0.0076575,            0.006122,             0.39952,             0.67917,             0.44983,             0.26058,            0.017823,           0.0037623,           0.0055378,           0.0032195,           0.0032195,           0.0032195
                  19,            0.011176,           0.0074649,            0.005877,              0.3771,              0.6375,              0.4393,             0.25761,            0.016899,           0.0037144,           0.0055404,           0.0032124,           0.0032124,           0.0032124
                  20,            0.011043,           0.0074299,           0.0058263,             0.42167,             0.74083,             0.49564,             0.32925,            0.013106,           0.0036463,           0.0054495,           0.0032054,           0.0032054,           0.0032054
                  21,            0.010905,           0.0074637,           0.0058228,             0.36766,              0.6875,              0.4447,             0.24277,            0.018077,           0.0036568,           0.0054704,           0.0031983,           0.0031983,           0.0031983
                  22,            0.010711,           0.0075251,           0.0060399,             0.39845,               0.775,             0.51181,             0.31685,             0.01312,           0.0035339,           0.0054108,           0.0031912,           0.0031912,           0.0031912
