               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026025,            0.010075,             0.01113,             0.53062,             0.67083,              0.6349,             0.41733,             0.02581,           0.0043458,            0.010523,           0.0090383,           0.0090383,           0.0090383
                  36,            0.025658,            0.010094,            0.010413,              0.6781,             0.61667,             0.63026,             0.40973,             0.02637,           0.0045071,           0.0088431,             0.00901,             0.00901,             0.00901
                  37,            0.025918,            0.010477,            0.010269,             0.55447,             0.68333,              0.6353,             0.41285,            0.024076,           0.0042419,           0.0093226,           0.0089817,           0.0089817,           0.0089817
                  38,            0.025847,            0.010495,            0.011387,             0.50234,             0.59583,             0.58985,             0.40853,            0.029275,           0.0042357,            0.010959,           0.0089534,           0.0089534,           0.0089534
                  39,            0.026016,            0.010006,            0.010114,             0.66745,             0.47166,             0.55232,              0.3693,            0.025946,           0.0043668,            0.011498,           0.0089251,           0.0089251,           0.0089251
                  40,            0.025653,            0.010387,            0.010009,             0.34633,             0.45833,             0.42551,              0.2396,            0.033528,           0.0055429,            0.010463,           0.0088969,           0.0088969,           0.0088969
                  41,            0.024878,             0.01012,             0.01069,             0.57541,             0.57917,             0.58639,             0.35188,            0.029469,           0.0047427,           0.0091642,           0.0088686,           0.0088686,           0.0088686
                  42,            0.025415,            0.010007,           0.0098885,             0.53482,             0.67083,             0.62427,             0.40457,            0.026164,           0.0045113,            0.010362,           0.0088403,           0.0088403,           0.0088403
                  43,            0.024829,            0.010118,            0.010526,             0.52137,              0.6163,             0.56648,             0.35944,             0.02695,           0.0043681,           0.0099191,            0.008812,            0.008812,            0.008812
                  44,             0.02472,            0.010207,            0.010992,             0.47929,               0.625,             0.53268,              0.3329,            0.027757,           0.0047414,            0.010411,           0.0087837,           0.0087837,           0.0087837
                  45,            0.025326,            0.010442,            0.010988,             0.48098,             0.65417,             0.53865,             0.33666,            0.031117,           0.0052104,            0.010926,           0.0087554,           0.0087554,           0.0087554
                  46,            0.024987,            0.010131,            0.010376,             0.54935,             0.65279,              0.6272,             0.41747,            0.025241,            0.004145,            0.010827,           0.0087271,           0.0087271,           0.0087271
                  47,            0.024477,           0.0097818,            0.010363,             0.44994,             0.64167,             0.54515,             0.35347,            0.026242,             0.00429,            0.012362,           0.0086989,           0.0086989,           0.0086989
                  48,            0.025746,            0.010028,           0.0096384,             0.51051,             0.60833,             0.60228,             0.37704,            0.028125,            0.004133,            0.012235,           0.0086706,           0.0086706,           0.0086706
                  49,            0.024794,           0.0097452,            0.009965,             0.46364,               0.625,             0.57024,             0.36926,            0.028741,           0.0044229,            0.010983,           0.0086423,           0.0086423,           0.0086423
                  50,            0.024308,           0.0099117,            0.009746,             0.49812,             0.65833,             0.60181,             0.39973,            0.027376,           0.0040348,           0.0093226,            0.008614,            0.008614,            0.008614
                  51,            0.024618,            0.010196,             0.00956,             0.50849,             0.68333,              0.6039,             0.38482,            0.027188,           0.0042443,            0.010745,           0.0085857,           0.0085857,           0.0085857
                  52,            0.024416,           0.0099973,           0.0096871,             0.51645,              0.7375,             0.65635,             0.43624,            0.025562,           0.0042251,           0.0099755,           0.0085574,           0.0085574,           0.0085574
                  53,            0.024306,            0.010028,           0.0092737,             0.33343,             0.52083,             0.40882,             0.26204,            0.033322,           0.0054647,            0.011543,           0.0085291,           0.0085291,           0.0085291
                  54,            0.024211,            0.010082,           0.0086352,             0.40025,             0.58012,             0.52369,             0.32972,            0.025128,           0.0046172,            0.012806,           0.0085009,           0.0085009,           0.0085009
                  55,            0.023872,           0.0099181,            0.010778,             0.80148,             0.47917,              0.6067,             0.37832,            0.032906,           0.0046536,            0.010245,           0.0084726,           0.0084726,           0.0084726
                  56,            0.024673,            0.010157,           0.0087696,             0.50307,             0.65985,             0.59782,             0.37156,            0.024878,           0.0042666,             0.01405,           0.0084443,           0.0084443,           0.0084443
                  57,            0.024074,           0.0097912,           0.0085345,             0.57359,             0.65753,             0.58671,             0.37751,            0.024255,           0.0045613,            0.012893,            0.008416,            0.008416,            0.008416
                  58,            0.024056,           0.0097382,           0.0088644,             0.53313,             0.57556,             0.56762,             0.37348,            0.023431,           0.0045322,            0.012038,           0.0083877,           0.0083877,           0.0083877
                  59,            0.023785,           0.0097703,           0.0089713,             0.56465,                 0.6,             0.65048,             0.41763,            0.024603,           0.0046404,           0.0095411,           0.0083594,           0.0083594,           0.0083594
                  60,            0.024322,           0.0098307,           0.0097989,             0.44962,             0.49167,             0.46316,             0.25766,            0.035297,           0.0054838,            0.013248,           0.0083311,           0.0083311,           0.0083311
                  61,            0.023799,            0.009935,            0.009062,             0.49049,             0.64583,              0.5554,             0.34935,            0.027415,           0.0044967,            0.011848,           0.0083029,           0.0083029,           0.0083029
