epoch,accuracy,loss,val_accuracy,val_loss
0,0.10181999951601028,2.349858283996582,0.10000000149011612,2.3041129112243652
1,0.2020999938249588,2.074007272720337,0.10000000149011612,2.3192121982574463
2,0.2022400051355362,2.05346417427063,0.08150000125169754,4.320093154907227
3,0.21220000088214874,2.058067560195923,0.2021999955177307,2.3392717838287354
4,0.23353999853134155,1.9840701818466187,0.2126999944448471,2.0710337162017822
5,0.24648000299930573,1.9563089609146118,0.2515000104904175,1.9496941566467285
6,0.25297999382019043,1.9306204319000244,0.2538999915122986,2.003753423690796
7,0.26137998700141907,1.923993706703186,0.2508000135421753,1.9386777877807617
8,0.2807199954986572,1.8965898752212524,0.27079999446868896,1.9221619367599487
9,0.2975200116634369,1.9021885395050049,0.25949999690055847,2.088252067565918
10,0.24582000076770782,1.9844090938568115,0.2574000060558319,1.945756196975708
11,0.2707799971103668,1.8933024406433105,0.27950000762939453,1.9599095582962036
12,0.28971999883651733,1.8597087860107422,0.3059000074863434,1.8937171697616577
13,0.30616000294685364,1.8311352729797363,0.28540000319480896,2.081265926361084
14,0.32534000277519226,1.7790443897247314,0.3109000027179718,1.8507165908813477
15,0.3457599878311157,1.6980643272399902,0.328000009059906,1.7642133235931396
16,0.3521600067615509,1.7016409635543823,0.3034999966621399,2.327038288116455
17,0.3387399911880493,1.7329297065734863,0.33809998631477356,1.8783289194107056
18,0.36956000328063965,1.6494220495224,0.3463999927043915,1.8351879119873047
19,0.38725998997688293,1.62125825881958,0.37630000710487366,1.7403724193572998
20,0.41227999329566956,1.5743838548660278,0.42660000920295715,1.624756932258606
21,0.43841999769210815,1.5143476724624634,0.4481000006198883,1.5530569553375244
22,0.46248000860214233,1.467665195465088,0.45509999990463257,1.5287038087844849
23,0.46950000524520874,1.468959093093872,0.3635999858379364,1.96510648727417
24,0.43501999974250793,1.5612071752548218,0.45190000534057617,1.654366374015808
25,0.484140008687973,1.4396694898605347,0.45739999413490295,1.6685216426849365
26,0.48561999201774597,1.446740984916687,0.4699000120162964,1.6639896631240845
27,0.5074800252914429,1.3879624605178833,0.4887999892234802,1.6040964126586914
28,0.47387999296188354,1.483574390411377,0.49219998717308044,1.47800612449646
29,0.5172200202941895,1.3729798793792725,0.4359000027179718,1.9566435813903809
30,0.5184599757194519,1.3612613677978516,0.5400000214576721,1.3808040618896484
31,0.551800012588501,1.2865545749664307,0.558899998664856,1.3545483350753784
