               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038444,            0.012872,           0.0080483,             0.00254,             0.84583,            0.007968,           0.0020164,            0.033641,           0.0072202,            0.007445,             0.13301,          0.00097631,          0.00097631
                   1,            0.028978,            0.013317,           0.0071188,           0.0018057,             0.60417,             0.01712,           0.0060868,            0.031466,           0.0060819,           0.0062755,            0.078883,           0.0019592,           0.0019592
                   2,            0.022039,            0.014129,           0.0063821,           0.0025535,             0.85417,             0.13056,            0.056689,            0.025788,           0.0067656,           0.0057133,            0.024753,           0.0029384,           0.0029384
                   3,             0.01955,             0.01308,           0.0061896,             0.69344,             0.25417,             0.24491,             0.10888,            0.022142,           0.0057869,           0.0056409,           0.0033211,           0.0033211,           0.0033211
                   4,             0.01813,            0.012178,           0.0060295,             0.73418,             0.09912,              0.1962,            0.086168,            0.027961,           0.0046281,            0.005655,           0.0033211,           0.0033211,           0.0033211
                   5,            0.017073,            0.011617,           0.0060608,             0.85976,             0.32917,             0.41413,              0.2159,            0.019583,           0.0045857,           0.0055128,           0.0033148,           0.0033148,           0.0033148
                   6,            0.016446,            0.011043,           0.0060747,              0.7861,             0.20833,             0.25477,             0.13635,            0.027233,           0.0041852,           0.0055792,           0.0033085,           0.0033085,           0.0033085
                   7,            0.015724,            0.010566,           0.0061608,             0.41927,             0.30844,             0.38415,              0.2012,            0.023481,           0.0039347,           0.0055876,           0.0033022,           0.0033022,           0.0033022
                   8,             0.01496,            0.010731,           0.0061627,             0.23012,             0.25417,             0.31107,             0.14834,            0.027214,           0.0038632,           0.0056007,           0.0032959,           0.0032959,           0.0032959
                   9,            0.014748,            0.010418,            0.006042,             0.25978,              0.2875,             0.31744,             0.15374,            0.025623,           0.0038883,            0.005544,           0.0032896,           0.0032896,           0.0032896
                  10,            0.014546,            0.010507,           0.0060845,              0.3702,             0.43163,             0.42495,               0.253,            0.017985,           0.0040199,            0.005565,           0.0032833,           0.0032833,           0.0032833
                  11,            0.013751,            0.010153,           0.0061496,              0.3634,             0.44669,             0.39703,             0.22903,            0.019252,           0.0039349,            0.005567,            0.003277,            0.003277,            0.003277
                  12,            0.013631,           0.0098785,            0.006006,             0.39966,             0.41667,             0.41181,             0.23771,            0.018977,            0.003993,           0.0055289,           0.0032707,           0.0032707,           0.0032707
                  13,            0.013545,           0.0098644,            0.006003,              0.3986,             0.62917,             0.46356,             0.23349,            0.018798,           0.0037816,           0.0055067,           0.0032644,           0.0032644,           0.0032644
                  14,            0.013048,           0.0099507,           0.0060426,             0.34196,               0.475,             0.44196,             0.25107,             0.01787,            0.003762,           0.0054977,           0.0032581,           0.0032581,           0.0032581
                  15,            0.012778,           0.0098363,           0.0058889,             0.33633,             0.40792,             0.34596,             0.19408,            0.023283,            0.003856,           0.0055259,           0.0032518,           0.0032518,           0.0032518
                  16,            0.012527,           0.0098259,           0.0059473,             0.36679,             0.53688,             0.44467,             0.26974,            0.017332,           0.0038172,           0.0055067,           0.0032455,           0.0032455,           0.0032455
                  17,            0.012324,            0.009649,            0.005967,             0.31128,             0.39583,             0.26972,              0.1505,            0.028391,           0.0038813,           0.0055492,           0.0032392,           0.0032392,           0.0032392
                  18,            0.012387,           0.0095951,           0.0060139,             0.33733,             0.45021,             0.38983,             0.21624,            0.021325,           0.0036884,           0.0055432,           0.0032329,           0.0032329,           0.0032329
