               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029369,            0.010932,            0.015246,             0.44048,             0.67214,             0.50822,             0.27768,            0.018324,           0.0044823,            0.011204,            0.009307,            0.009307,            0.009307
                  37,            0.024593,            0.011805,            0.015104,             0.45921,             0.77778,             0.59059,             0.41991,            0.015239,           0.0034021,           0.0093458,           0.0092872,           0.0092872,           0.0092872
                  38,            0.027617,            0.010869,            0.013793,             0.58704,             0.84732,             0.66528,             0.48398,            0.015056,           0.0032493,           0.0094067,           0.0092674,           0.0092674,           0.0092674
                  39,            0.021785,            0.011068,            0.014045,              0.4858,             0.94444,             0.61617,              0.4601,            0.013777,           0.0033829,            0.015607,           0.0092476,           0.0092476,           0.0092476
                  40,            0.025248,            0.011434,            0.012126,              0.5033,                   1,             0.60159,             0.45015,            0.012992,           0.0032836,            0.012485,           0.0092278,           0.0092278,           0.0092278
                  41,            0.024631,            0.011324,            0.012599,             0.47679,             0.91695,             0.51192,             0.38045,            0.011711,              0.0031,            0.016287,            0.009208,            0.009208,            0.009208
                  42,            0.022897,            0.012659,            0.014383,             0.50845,             0.66667,             0.67664,             0.53841,            0.013924,           0.0030597,            0.011289,           0.0091882,           0.0091882,           0.0091882
                  43,            0.028985,            0.010907,            0.012771,             0.49184,             0.83333,             0.60267,             0.41549,            0.014685,            0.003345,            0.012065,           0.0091684,           0.0091684,           0.0091684
                  44,            0.030162,            0.010912,            0.012522,             0.67986,             0.68729,             0.65522,             0.47861,            0.014704,           0.0029985,           0.0091835,           0.0091486,           0.0091486,           0.0091486
                  45,            0.024302,            0.010917,            0.013413,             0.50796,             0.85764,              0.5577,             0.33798,            0.018591,           0.0037292,             0.01474,           0.0091288,           0.0091288,           0.0091288
                  46,            0.025042,            0.011063,            0.010969,             0.42913,             0.64303,             0.50143,             0.30676,             0.02106,           0.0050756,            0.012198,            0.009109,            0.009109,            0.009109
                  47,            0.022608,            0.010708,            0.011072,             0.48307,             0.77778,             0.65214,             0.49572,            0.016167,           0.0028657,            0.011387,           0.0090892,           0.0090892,           0.0090892
                  48,             0.02561,            0.010848,            0.016466,             0.56998,             0.80502,             0.75346,             0.55923,            0.013444,            0.003457,            0.010555,           0.0090694,           0.0090694,           0.0090694
                  49,            0.026223,            0.009896,            0.013264,              0.5154,             0.94444,             0.54347,             0.37458,            0.012983,           0.0032661,            0.012216,           0.0090496,           0.0090496,           0.0090496
                  50,            0.024601,             0.01067,            0.013128,             0.38418,             0.62313,             0.43867,             0.28685,            0.019458,           0.0044779,            0.011104,           0.0090298,           0.0090298,           0.0090298
                  51,            0.029931,            0.010075,            0.012902,             0.46784,             0.82036,             0.52659,             0.35578,             0.01662,           0.0042032,            0.014273,             0.00901,             0.00901,             0.00901
                  52,            0.027553,            0.010822,            0.015857,              0.5041,             0.82623,             0.57451,             0.35337,            0.016601,            0.004177,            0.017566,           0.0089902,           0.0089902,           0.0089902
                  53,            0.022413,            0.010762,             0.01073,             0.56805,             0.69097,             0.66466,             0.47463,            0.011937,           0.0031739,           0.0090866,           0.0089704,           0.0089704,           0.0089704
                  54,            0.025048,            0.010443,            0.011026,             0.50198,             0.88888,             0.61218,              0.4397,            0.020234,            0.003198,           0.0091454,           0.0089506,           0.0089506,           0.0089506
                  55,            0.022386,            0.011659,            0.012416,             0.49467,             0.94444,             0.58693,             0.39021,            0.016635,           0.0033303,            0.011676,           0.0089308,           0.0089308,           0.0089308
